Date,PortfolioAccumulatedYield
2016-11-02,-0.008597361997414565
2016-11-03,-0.007738818572952888
2016-11-04,-0.007904735453390543
2016-11-07,-0.004174897779628095
2016-11-08,-0.005356071954194519
2016-11-09,-0.00444237860584662
2016-11-10,-0.0030397300336030275
2016-11-11,0.0028173214714837247
2016-11-14,0.007000207988904217
2016-11-15,0.004064079558865341
2016-11-16,0.004013989509256133
2016-11-17,0.002528429185369774
2016-11-18,9.510013482461055e-05
2016-11-21,0.00018850542009540838
2016-11-22,0.005450693813342511
2016-11-23,0.003535986408669256
2016-11-24,0.005447399899701555
2016-11-25,0.008353219667090128
2016-11-28,0.009983560057913898
2016-11-29,0.00551807244761271
2016-11-30,0.0008068377216823297
